,Fitness,HD,Variants
0,1.0,0.0,VDGV
1,0.0619,1.0,ADGV
2,0.242237278,1.0,CDGV
3,0.00647,1.0,DDGV
4,0.0327,1.0,EDGV
5,0.377100728,1.0,FDGV
6,0.0083,1.0,GDGV
7,0.0265,1.0,HDGV
8,1.445905086,1.0,IDGV
9,0.0202,1.0,KDGV
10,1.690163554,1.0,LDGV
11,1.170549883,1.0,MDGV
12,0.0116,1.0,NDGV
13,0.00895,1.0,PDGV
14,0.102672418,1.0,QDGV
15,0.0172,1.0,RDGV
16,0.0343,1.0,SDGV
17,0.246551701,1.0,TDGV
18,2.4012434959999998,1.0,VAGV
19,1.838187182,1.0,VCGV
20,0.12057612699999999,1.0,VDAV
21,0.0607,1.0,VDCV
22,0.00595,1.0,VDDV
23,0.00643,1.0,VDEV
24,0.067,1.0,VDFV
25,1.3729493330000002,1.0,VDGA
26,1.4139359059999999,1.0,VDGC
27,0.0315,1.0,VDGD
28,0.0353,1.0,VDGE
29,0.820788194,1.0,VDGF
30,0.265820486,1.0,VDGG
31,0.161839956,1.0,VDGH
32,0.37710503100000003,1.0,VDGI
33,0.007659999999999999,1.0,VDGK
34,0.38047289799999995,1.0,VDGL
35,0.585648854,1.0,VDGM
36,0.22509206,1.0,VDGN
37,0.007559999999999999,1.0,VDGP
38,0.124301624,1.0,VDGQ
39,0.00617,1.0,VDGR
40,0.49575985200000006,1.0,VDGS
41,0.615188985,1.0,VDGT
42,0.6999954290000001,1.0,VDGW
43,0.0285,1.0,VDGY
44,0.00435,1.0,VDHV
45,0.0034200000000000003,1.0,VDIV
46,0.004079999999999999,1.0,VDKV
47,0.009770000000000001,1.0,VDLV
48,0.0131,1.0,VDMV
49,0.00575,1.0,VDNV
50,0.0049,1.0,VDPV
51,0.00418,1.0,VDQV
52,0.00435,1.0,VDRV
53,0.0139,1.0,VDSV
54,0.00411,1.0,VDTV
55,0.016,1.0,VDVV
56,0.007520000000000001,1.0,VDWV
57,0.0137,1.0,VDYV
58,0.8609306640000001,1.0,VEGV
59,3.054548651,1.0,VFGV
60,0.8640258479999999,1.0,VGGV
61,3.081165808,1.0,VHGV
62,1.791713331,1.0,VIGV
63,1.137884775,1.0,VKGV
64,0.907305261,1.0,VLGV
65,1.0935288,1.0,VMGV
66,1.802922799,1.0,VNGV
67,0.402165979,1.0,VPGV
68,1.113893638,1.0,VQGV
69,1.645471649,1.0,VRGV
70,2.16359336,1.0,VSGV
71,1.165465363,1.0,VTGV
72,1.9476678680000001,1.0,VVGV
73,3.901460756,1.0,VWGV
74,3.891461091,1.0,VYGV
75,0.0104,1.0,WDGV
76,0.072,1.0,YDGV
77,0.274083335,2.0,AAGV
78,0.249166668,2.0,ACGV
79,0.0,2.0,ADDV
80,0.109633334,2.0,ADFV
81,0.12059666699999999,2.0,ADGA
82,0.356308335,2.0,ADGC
83,0.0171,2.0,ADGE
84,0.38694117899999997,2.0,ADGF
85,0.0228,2.0,ADGG
86,0.0329,2.0,ADGH
87,0.11420139,2.0,ADGL
88,0.251243057,2.0,ADGM
89,0.0,2.0,ADGN
90,0.006229999999999999,2.0,ADGP
91,0.0,2.0,ADGQ
92,0.0,2.0,ADGR
93,0.0401,2.0,ADGS
94,0.0244,2.0,ADGT
95,0.0,2.0,ADGY
96,0.0,2.0,ADLV
97,0.0274,2.0,ADNV
98,0.0,2.0,ADPV
99,0.0,2.0,ADRV
100,0.0,2.0,ADVV
101,0.0161,2.0,AEGV
102,0.982388582,2.0,AFGV
103,0.0422,2.0,AGGV
